Sex	WeightClassKg	Best3SquatKg	Best3BenchKg	Best3DeadliftKg	Country	Date
M	56	145	77.5	172.5	Iran	11/26/00
M	60	160	80	200	England	11/26/00
M	60	140	100	160	Iran	11/26/00
M	60	120	75	140	Venezuela	11/26/00
M	67.5	150	125	190	Iran	11/26/00
M	67.5	120	85	160	Lithuania	11/26/00
M	75	160	110	220	Czechia	11/26/00
M	82.5	217.5	125	215	Iran	11/26/00
M	82.5	185	110	180	Spain	11/26/00
M	82.5	130	90	160	Venezuela	11/26/00
M	90	215	155	245	Netherlands	11/26/00
M	90	180	140	205	Canada	11/26/00
M	90	160	110	190	Spain	11/26/00
M	90	155	105	200	Venezuela	11/26/00
M	100	220	172.5	220	USA	11/26/00
M	100	170	130	210	Lithuania	11/26/00
M	100	175	110	200	Iran	11/26/00
M	110	210	140	270	Spain	11/26/00
M	125	227.5	170	250	USA	11/26/00
M	82.5	140	95	150	Venezuela	11/26/00
M	90	160	115	150	Venezuela	11/26/00
M	100	170	160	192.5	USA	11/26/00
M	125	225	130	245	Iran	11/26/00
M	90	190	100	205	USA	11/26/00
M	100	180	122.5	220	Canada	11/26/00
M	82.5	102.5	80	160	Canada	11/26/00
M	75	150	100	200	Canada	11/26/00
M	82.5	155	85	190	Venezuela	11/26/00
M	90	125	60	165	Canada	11/26/00
M	110	180	162.5	210	Canada	11/26/00
F	44	47.5	20	57.5	USA	11/26/00
F	56	90	52.5	100	USA	11/26/00
F	67.5	42.5	35	80	Canada	11/26/00
F	67.5	45	30	85	USA	11/26/00
F	82.5	95	55	137.5	USA	11/26/00
M	52	155	85	155	Iran	8/5/03
M	56	155	82.5	185	Iran	8/5/03
M	60	140	105	165	Iran	8/5/03
M	67.5	210	110	200	Iran	8/5/03
M	67.5	145	75	192.5	Spain	8/5/03
M	75	190	125	220	Czechia	8/5/03
M	75	187.5	90	195	Spain	8/5/03
M	82.5	175	142.5	220	USA	8/5/03
M	90	245	150	260	Russia	8/5/03
M	90	190	135	180	Canada	8/5/03
M	100	230	165	232.5	Russia	8/5/03
M	110	245.5	205	250	USA	8/5/03
M	110	235	185	240	Austria	8/5/03
M	125	215	152.5	217.5	USA	8/5/03
M	125+	255	140	245	Iran	8/5/03
M	60	165	92.5	202.5	England	8/5/03
M	67.5	162.5	95	185	Russia	8/5/03
M	90	170	115	180	Venezuela	8/5/03
M	100	265	155	220	Iran	8/5/03
M	110	180	137.5	172.5	USA	8/5/03
M	125	192.5	135	210	Russia	8/5/03
M	90	175	120	240	England	8/5/03
M	100	200	92.5	230	USA	8/5/03
M	52	85	70	137.5	USA	8/5/03
M	56	90	85	110	Iran	8/5/03
M	75	120	65	140	Czechia	8/5/03
M	82.5	250	157.5	250	Russia	8/5/03
M	90	177.5	127.5	207.5	Canada	8/5/03
M	100	145	115	215	Czechia	8/5/03
M	110	207.5	180	225	Canada	8/5/03
F	52	85	42.5	120	Spain	8/5/03
F	56	55	40	90	Czechia	8/5/03
F	44	35	30	75	USA	8/5/03
F	67.5	127.5	80	130	Venezuela	8/5/03
F	75	80	52.5	110	Czechia	8/5/03
F	90	107.5	57.5	145	USA	8/5/03
F	90+	130	60	125	Canada	8/5/03
F	48	92.5	60	110	Ukraine	10/18/10
F	48	92.5	52.5	87.5	Russia	10/18/10
F	48	50	30	75	Turkey	10/18/10
F	52	90	60	117.5	Russia	10/18/10
F	52	100	60	105	Ukraine	10/18/10
F	52	75	50	100	Turkey	10/18/10
F	52	37.5	25	70	Turkey	10/18/10
F	56	100	70	130	Ukraine	10/18/10
F	56	80	55	110	Turkey	10/18/10
F	56	82.5	40	82.5	Russia	10/18/10
F	60	140	80	125	Russia	10/18/10
F	60	125	60	140	Ukraine	10/18/10
F	60	80	35	95	Turkey	10/18/10
F	67.5	130	70	130	Russia	10/18/10
F	67.5	100	60	150	Turkey	10/18/10
F	67.5	60	40	80	Turkey	10/18/10
F	75	130	80	135	Russia	10/18/10
F	82.5	137.5	66	166	Japan	10/18/10
F	82.5	75	55	120	Turkey	10/18/10
F	90+	80	45	115	Turkey	10/18/10
F	52	100	60	105	Ukraine	10/18/10
F	52	90	60	117.5	Russia	10/18/10
F	48	50	30	75	Turkey	10/18/10
F	60	140	80	125	Russia	10/18/10
F	56	100	70	130	Ukraine	10/18/10
F	56	82.5	40	82.5	Russia	10/18/10
F	67.5	60	40	80	Turkey	10/18/10
F	60	125	60	140	Ukraine	10/18/10
F	75	130	80	135	Russia	10/18/10
M	56	200	125	190	Iran	10/18/10
M	56	170	115	185	Iran	10/18/10
M	56	180	95	185	Turkey	10/18/10
M	56	150	100	200	Ukraine	10/18/10
M	60	190	115	205	Ukraine	10/18/10
M	60	187.5	110	200	Iran	10/18/10
M	60	170	120	175	Russia	10/18/10
M	60	145	105	195	Brazil	10/18/10
M	60	120	80	160	Turkey	10/18/10
M	60	100	90	130	Turkey	10/18/10
M	67.5	240	147.5	245	Ukraine	10/18/10
M	67.5	230	135	202.5	Iran	10/18/10
M	67.5	205	155	185	Russia	10/18/10
M	67.5	185	130	220	Ukraine	10/18/10
M	67.5	172.5	107.5	205	Turkey	10/18/10
M	67.5	165	90	180	Venezuela	10/18/10
M	67.5	140	97.5	170	Turkey	10/18/10
M	67.5	130	90	160	Malaysia	10/18/10
M	75	225	162.5	240	Iran	10/18/10
M	75	237.5	167.5	210	Ukraine	10/18/10
M	75	242.5	135	232.5	Ukraine	10/18/10
M	75	185	130	250	Turkey	10/18/10
M	82.5	255	145	262.5	Iran	10/18/10
M	82.5	220	170	267.5	Iran	10/18/10
M	82.5	240	145	240	Ukraine	10/18/10
M	82.5	180	125	240	Russia	10/18/10
