c,Sex,BodyweightKg,WeightClassKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,Country,Date
Tim Ekert,M,113.1,125,240,215,240,Canada,11/7/09
Tom Monroe,M,122.7,125,130,92.5,182.5,USA,11/7/09
Stephen Jesso,M,171.5,125+,340,245,300,Canada,11/7/09
Seyed Aboulfazil Mosavi,M,132.6,125+,280,180,240,Iran,11/7/09
Hamzehali Ghosali,M,51.5,52,100,77.5,145,Iran,11/26/00
Seyed Hadi Hosseini,M,55.1,56,145,77.5,172.5,Iran,11/26/00
Steve Brown #4,M,57.5,60,160,80,200,England,11/26/00
Mostafa Irandost,M,58.7,60,140,100,160,Iran,11/26/00
Gustavo Mejias,M,57.5,60,120,75,140,Venezuela,11/26/00
Hossein Mardan Pour,M,67.2,67.5,150,125,190,Iran,11/26/00
Vytautas Girnius,M,66.3,67.5,120,85,160,Lithuania,11/26/00
Janoušek Jiri,M,74.2,75,160,110,220,Czechia,11/26/00
Rohan Ahmadi,M,82.1,82.5,217.5,125,215,Iran,11/26/00
Rafael Ledesma,M,79.9,82.5,185,110,180,Spain,11/26/00
Pedro Valera,M,80.9,82.5,130,90,160,Venezuela,11/26/00
Harrie Cupen,M,87.1,90,215,155,245,Netherlands,11/26/00
Robert Truchon,M,88,90,180,140,205,Canada,11/26/00
Felix Najera,M,82.9,90,160,110,190,Spain,11/26/00
Anibal Bello,M,83.3,90,155,105,200,Venezuela,11/26/00
Steve Peña #1,M,98,100,220,172.5,220,USA,11/26/00
Rolandas Urbonas,M,98.2,100,170,130,210,Lithuania,11/26/00
Habib Janatipour,M,99.1,100,175,110,200,Iran,11/26/00
Andres Galvez,M,100.4,110,210,140,270,Spain,11/26/00
Cody Colchado,M,111.5,125,227.5,170,250,USA,11/26/00
Angal Rojas,M,76.5,82.5,140,95,150,Venezuela,11/26/00
Cruz Barrios,M,83.4,90,160,115,150,Venezuela,11/26/00
Ron Carrich,M,91.4,100,170,160,192.5,USA,11/26/00
Jahanbakhsh Askari Bezaye,M,120.5,125,225,130,245,Iran,11/26/00
Nick Sinardi,M,86,90,190,100,205,USA,11/26/00
Raymond Villeneuve,M,98.5,100,180,122.5,220,Canada,11/26/00
Ralph Bergland,M,80.5,82.5,102.5,80,160,Canada,11/26/00
Adam Bury,M,73.3,75,150,100,200,Canada,11/26/00
Josh Villarreal,M,79.7,82.5,155,85,190,Venezuela,11/26/00
Darren Cooper,M,88.5,90,125,60,165,Canada,11/26/00
Tim Ekert,M,108.6,110,180,162.5,210,Canada,11/26/00
Candy Loukprasong,F,34.4,44,47.5,20,57.5,USA,11/26/00
Edie Jones,F,52.1,56,90,52.5,100,USA,11/26/00
Sarah Thompson,F,67.1,67.5,42.5,35,80,Canada,11/26/00
Trisha Ellingsworth,F,60.7,67.5,45,30,85,USA,11/26/00
Asya Miller,F,79.9,82.5,95,55,137.5,USA,11/26/00
Sajjad Khaledan,M,51,52,155,85,155,Iran,8/5/03
Seyed Hadi Hosseini,M,55.4,56,155,82.5,185,Iran,8/5/03
Mostafa Irandost,M,58.8,60,140,105,165,Iran,8/5/03
Mehdi Baharzadeh,M,66.8,67.5,210,110,200,Iran,8/5/03
Luis Javier Rojas,M,67.4,67.5,145,75,192.5,Spain,8/5/03
Jiří Janoušek,M,74.3,75,190,125,220,Czechia,8/5/03
Rafael Ledezma,M,74.6,75,187.5,90,195,Spain,8/5/03
Mike Yontz,M,79.6,82.5,175,142.5,220,USA,8/5/03
Alexei Moukhametov,M,88.1,90,245,150,260,Russia,8/5/03
Robert Truchon,M,89.5,90,190,135,180,Canada,8/5/03
Vitali Maier,M,96.8,100,230,165,232.5,Russia,8/5/03
Steve Peña #1,M,104.7,110,245.5,205,250,USA,8/5/03
Roland Mitterlehner,M,103.6,110,235,185,240,Austria,8/5/03
Bobby Blackmon,M,111.7,125,215,152.5,217.5,USA,8/5/03
Jahanbakhsh Askari Bezaye,M,125.5,125+,255,140,245,Iran,8/5/03
Steve Brown #4,M,59.8,60,165,92.5,202.5,England,8/5/03
Yuri Pantiukhov,M,65.2,67.5,162.5,95,185,Russia,8/5/03
Cruz Manuel Barrios,M,83.1,90,170,115,180,Venezuela,8/5/03
Jamshid Mirshekari,M,96.1,100,265,155,220,Iran,8/5/03
Michael Elliott,M,104.6,110,180,137.5,172.5,USA,8/5/03
